index,voice_name,language_code,gender,sample_rate_hz,preview_file,exists
1,cmn-CN-Chirp3-HD-Achernar,cmn-CN,FEMALE,24000,001_F_cmn-CN-Chirp3-HD-Achernar.mp3,True
2,cmn-CN-Chirp3-HD-Achird,cmn-CN,MALE,24000,002_M_cmn-CN-Chirp3-HD-Achird.mp3,True
3,cmn-CN-Chirp3-HD-Algenib,cmn-CN,MALE,24000,003_M_cmn-CN-Chirp3-HD-Algenib.mp3,True
4,cmn-CN-Chirp3-HD-Algieba,cmn-CN,MALE,24000,004_M_cmn-CN-Chirp3-HD-Algieba.mp3,True
5,cmn-CN-Chirp3-HD-Alnilam,cmn-CN,MALE,24000,005_M_cmn-CN-Chirp3-HD-Alnilam.mp3,True
6,cmn-CN-Chirp3-HD-Aoede,cmn-CN,FEMALE,24000,006_F_cmn-CN-Chirp3-HD-Aoede.mp3,True
7,cmn-CN-Chirp3-HD-Autonoe,cmn-CN,FEMALE,24000,007_F_cmn-CN-Chirp3-HD-Autonoe.mp3,True
8,cmn-CN-Chirp3-HD-Callirrhoe,cmn-CN,FEMALE,24000,008_F_cmn-CN-Chirp3-HD-Callirrhoe.mp3,True
9,cmn-CN-Chirp3-HD-Charon,cmn-CN,MALE,24000,009_M_cmn-CN-Chirp3-HD-Charon.mp3,True
10,cmn-CN-Chirp3-HD-Despina,cmn-CN,FEMALE,24000,010_F_cmn-CN-Chirp3-HD-Despina.mp3,True
11,cmn-CN-Chirp3-HD-Enceladus,cmn-CN,MALE,24000,011_M_cmn-CN-Chirp3-HD-Enceladus.mp3,True
12,cmn-CN-Chirp3-HD-Erinome,cmn-CN,FEMALE,24000,012_F_cmn-CN-Chirp3-HD-Erinome.mp3,True
13,cmn-CN-Chirp3-HD-Fenrir,cmn-CN,MALE,24000,013_M_cmn-CN-Chirp3-HD-Fenrir.mp3,True
14,cmn-CN-Chirp3-HD-Gacrux,cmn-CN,FEMALE,24000,014_F_cmn-CN-Chirp3-HD-Gacrux.mp3,True
15,cmn-CN-Chirp3-HD-Iapetus,cmn-CN,MALE,24000,015_M_cmn-CN-Chirp3-HD-Iapetus.mp3,True
16,cmn-CN-Chirp3-HD-Kore,cmn-CN,FEMALE,24000,016_F_cmn-CN-Chirp3-HD-Kore.mp3,True
17,cmn-CN-Chirp3-HD-Laomedeia,cmn-CN,FEMALE,24000,017_F_cmn-CN-Chirp3-HD-Laomedeia.mp3,True
18,cmn-CN-Chirp3-HD-Leda,cmn-CN,FEMALE,24000,018_F_cmn-CN-Chirp3-HD-Leda.mp3,True
19,cmn-CN-Chirp3-HD-Orus,cmn-CN,MALE,24000,019_M_cmn-CN-Chirp3-HD-Orus.mp3,True
20,cmn-CN-Chirp3-HD-Puck,cmn-CN,MALE,24000,020_M_cmn-CN-Chirp3-HD-Puck.mp3,True
21,cmn-CN-Chirp3-HD-Pulcherrima,cmn-CN,FEMALE,24000,021_F_cmn-CN-Chirp3-HD-Pulcherrima.mp3,True
22,cmn-CN-Chirp3-HD-Rasalgethi,cmn-CN,MALE,24000,022_M_cmn-CN-Chirp3-HD-Rasalgethi.mp3,True
23,cmn-CN-Chirp3-HD-Sadachbia,cmn-CN,MALE,24000,023_M_cmn-CN-Chirp3-HD-Sadachbia.mp3,True
24,cmn-CN-Chirp3-HD-Sadaltager,cmn-CN,MALE,24000,024_M_cmn-CN-Chirp3-HD-Sadaltager.mp3,True
25,cmn-CN-Chirp3-HD-Schedar,cmn-CN,MALE,24000,025_M_cmn-CN-Chirp3-HD-Schedar.mp3,True
26,cmn-CN-Chirp3-HD-Sulafat,cmn-CN,FEMALE,24000,026_F_cmn-CN-Chirp3-HD-Sulafat.mp3,True
27,cmn-CN-Chirp3-HD-Umbriel,cmn-CN,MALE,24000,027_M_cmn-CN-Chirp3-HD-Umbriel.mp3,True
28,cmn-CN-Chirp3-HD-Vindemiatrix,cmn-CN,FEMALE,24000,028_F_cmn-CN-Chirp3-HD-Vindemiatrix.mp3,True
29,cmn-CN-Chirp3-HD-Zephyr,cmn-CN,FEMALE,24000,029_F_cmn-CN-Chirp3-HD-Zephyr.mp3,True
30,cmn-CN-Chirp3-HD-Zubenelgenubi,cmn-CN,MALE,24000,030_M_cmn-CN-Chirp3-HD-Zubenelgenubi.mp3,True
31,cmn-CN-Standard-A,cmn-CN,FEMALE,24000,031_F_cmn-CN-Standard-A.mp3,True
32,cmn-CN-Standard-B,cmn-CN,MALE,24000,032_M_cmn-CN-Standard-B.mp3,True
33,cmn-CN-Standard-C,cmn-CN,MALE,24000,033_M_cmn-CN-Standard-C.mp3,True
34,cmn-CN-Standard-D,cmn-CN,FEMALE,24000,034_F_cmn-CN-Standard-D.mp3,True
35,cmn-CN-Wavenet-A,cmn-CN,FEMALE,24000,035_F_cmn-CN-Wavenet-A.mp3,True
36,cmn-CN-Wavenet-B,cmn-CN,MALE,24000,036_M_cmn-CN-Wavenet-B.mp3,True
37,cmn-CN-Wavenet-C,cmn-CN,MALE,24000,037_M_cmn-CN-Wavenet-C.mp3,True
38,cmn-CN-Wavenet-D,cmn-CN,FEMALE,24000,038_F_cmn-CN-Wavenet-D.mp3,True
39,cmn-TW-Standard-A,cmn-TW,FEMALE,24000,039_F_cmn-TW-Standard-A.mp3,True
40,cmn-TW-Standard-B,cmn-TW,MALE,24000,040_M_cmn-TW-Standard-B.mp3,True
41,cmn-TW-Standard-C,cmn-TW,MALE,24000,041_M_cmn-TW-Standard-C.mp3,True
42,cmn-TW-Wavenet-A,cmn-TW,FEMALE,24000,042_F_cmn-TW-Wavenet-A.mp3,True
43,cmn-TW-Wavenet-B,cmn-TW,MALE,24000,043_M_cmn-TW-Wavenet-B.mp3,True
44,cmn-TW-Wavenet-C,cmn-TW,MALE,24000,044_M_cmn-TW-Wavenet-C.mp3,True
45,yue-HK-Chirp3-HD-Achernar,yue-HK,FEMALE,24000,045_F_yue-HK-Chirp3-HD-Achernar.mp3,True
46,yue-HK-Chirp3-HD-Achird,yue-HK,MALE,24000,046_M_yue-HK-Chirp3-HD-Achird.mp3,True
47,yue-HK-Chirp3-HD-Algenib,yue-HK,MALE,24000,047_M_yue-HK-Chirp3-HD-Algenib.mp3,True
48,yue-HK-Chirp3-HD-Algieba,yue-HK,MALE,24000,048_M_yue-HK-Chirp3-HD-Algieba.mp3,True
49,yue-HK-Chirp3-HD-Alnilam,yue-HK,MALE,24000,049_M_yue-HK-Chirp3-HD-Alnilam.mp3,True
50,yue-HK-Chirp3-HD-Aoede,yue-HK,FEMALE,24000,050_F_yue-HK-Chirp3-HD-Aoede.mp3,True
51,yue-HK-Chirp3-HD-Autonoe,yue-HK,FEMALE,24000,051_F_yue-HK-Chirp3-HD-Autonoe.mp3,True
52,yue-HK-Chirp3-HD-Callirrhoe,yue-HK,FEMALE,24000,052_F_yue-HK-Chirp3-HD-Callirrhoe.mp3,True
53,yue-HK-Chirp3-HD-Charon,yue-HK,MALE,24000,053_M_yue-HK-Chirp3-HD-Charon.mp3,True
54,yue-HK-Chirp3-HD-Despina,yue-HK,FEMALE,24000,054_F_yue-HK-Chirp3-HD-Despina.mp3,True
55,yue-HK-Chirp3-HD-Enceladus,yue-HK,MALE,24000,055_M_yue-HK-Chirp3-HD-Enceladus.mp3,True
56,yue-HK-Chirp3-HD-Erinome,yue-HK,FEMALE,24000,056_F_yue-HK-Chirp3-HD-Erinome.mp3,True
57,yue-HK-Chirp3-HD-Fenrir,yue-HK,MALE,24000,057_M_yue-HK-Chirp3-HD-Fenrir.mp3,True
58,yue-HK-Chirp3-HD-Gacrux,yue-HK,FEMALE,24000,058_F_yue-HK-Chirp3-HD-Gacrux.mp3,True
59,yue-HK-Chirp3-HD-Iapetus,yue-HK,MALE,24000,059_M_yue-HK-Chirp3-HD-Iapetus.mp3,True
60,yue-HK-Chirp3-HD-Kore,yue-HK,FEMALE,24000,060_F_yue-HK-Chirp3-HD-Kore.mp3,True
61,yue-HK-Chirp3-HD-Laomedeia,yue-HK,FEMALE,24000,061_F_yue-HK-Chirp3-HD-Laomedeia.mp3,True
62,yue-HK-Chirp3-HD-Leda,yue-HK,FEMALE,24000,062_F_yue-HK-Chirp3-HD-Leda.mp3,True
63,yue-HK-Chirp3-HD-Orus,yue-HK,MALE,24000,063_M_yue-HK-Chirp3-HD-Orus.mp3,True
64,yue-HK-Chirp3-HD-Puck,yue-HK,MALE,24000,064_M_yue-HK-Chirp3-HD-Puck.mp3,True
65,yue-HK-Chirp3-HD-Pulcherrima,yue-HK,FEMALE,24000,065_F_yue-HK-Chirp3-HD-Pulcherrima.mp3,True
66,yue-HK-Chirp3-HD-Rasalgethi,yue-HK,MALE,24000,066_M_yue-HK-Chirp3-HD-Rasalgethi.mp3,True
67,yue-HK-Chirp3-HD-Sadachbia,yue-HK,MALE,24000,067_M_yue-HK-Chirp3-HD-Sadachbia.mp3,True
